	SI_ACRO_T2	LC_OUL_M1	PC_PLAT_M1	PI_PLAT_T1	PC_OUL_S2	SI_OUL_M3	PI_PORI_T1	LC_OUL_S3	PC_LEPT_M1	PI_PORI_S3	LC_PLAT_S1	PI_PLAT_S2	LC_OUL_T3	SI_PLAT_T2	PC_LEPT_S1	LC_PLAT_T1	LC_PORI_S1	PI_PLAT_T3	PI_PORI_S2	SI_PLAT_S2	LC_PLAT_M3	LC_PORI_S2	NP_PORI_S1	NP_PORI_T1	LC_PORI_T2	SI_ACRO_T1	PI_OUL_T1	LC_PLAT_T3	LC_OUL_T1	SI_OUL_T3	YTW_OUL_S2	SI_PLAT_M2	SI_OUL_M1	YTW_OUL_S1	LC_ACRO_T1	PC_FAVI_S1	SI_ACRO_T3	YTW_OUL_S3	PC_OUL_S1	CI_ACRO_T2	SI_OUL_T1	SI_OUL_S3	PI_PLAT_M2	PI_OUL_T3	PI_PORI_T3	PC_OUL_T2	LC_PLAT_M1	SI_PLAT_T1	LC_PLAT_S3	PC_OUL_T1	PC_PLAT_S1	PC_OUL_S3	YTW_OUL_T1	LC_OUL_S1	PI_PLAT_M3	YTW_OUL_T2	LC_PORI_T1	PI_OUL_S1	SI_PLAT_S1	PC_FAVI_T1	PI_OUL_T2	PI_PORI_S1	CI_ACRO_T1	PC_PLAT_T1	PI_PLAT_T2	LC_PORI_T3	YTW_OUL_T3	PI_OUL_S2	PC_OUL_T3	SI_OUL_S1	PI_PORI_T2	PC_LEPT_T1	SI_PLAT_M1	PI_PLAT_S1	SI_PLAT_T3	SI_OUL_M2	NP_ACRO_T2	LC_PLAT_M2	LC_PLAT_S2	SW_OUL_M1	SW_OUL_T1	SI_PLAT_S3	SI_OUL_T2	LC_PLAT_T2	SI_PLAT_M3	SW_OUL_S1	LC_OUL_S2	NP_ACRO_M2	LC_OUL_M2	LC_OUL_T2	SI_OUL_S2	sum	genus	family
ASV000021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21025	0	0	0	417	198	1564	240	0	24	223	223	42	202	224	0	24404	Halomonas	Halomonadaceae
ASV000022	73	14	224	270	0	619	16	8	144	17	28	263	0	16	678	0	24	580	57	306	17	0	0	23	3	30	9	583	19	9	878	13	13	14432	71	87	0	416	10	21	25	0	20	337	340	32	31	39	10	350	84	495	880	21	31	92	28	344	0	35	195	237	0	0	82	23	53	203	22	32	0	31	46	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24278	Dinoroseobacter	Roseobacteraceae
ASV000023	11	142	12	461	89	9	22	0	8	143	184	6996	3	227	0	155	4	196	30	108	10	0	86	3004	4	299	150	5	7	110	26	161	265	104	75	7	7	98	0	75	14	0	331	161	5	18	8	151	7075	0	86	8	4	3	386	4	2	127	124	4	43	37	51	0	72	4	130	80	149	0	351	0	103	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22929	Unclassified family	Pseudomonadaceae
ASV000024	8	97	10	1661	73	123	128	6	10	152	119	4974	0	150	0	168	0	217	663	83	63	7	68	0	99	202	117	3122	0	71	0	100	181	94	23	0	8	88	9	0	10	11	1449	128	31	10	39	144	4609	9	62	19	2	0	18	9	100	137	113	5	24	16	31	6	16	43	110	111	139	22	1971	5	78	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22762	Hydrogenophaga	Comamonadaceae
ASV000026	71	181	166	137	122	55	135	99	216	125	29	94	266	69	241	57	42	93	103	0	80	387	168	360	471	124	72	61	276	261	121	368	82	21	97	323	81	207	325	43	37	40	104	191	217	218	1253	51	37	208	461	90	153	52	71	339	314	55	35	251	336	23	69	815	112	527	373	114	272	53	272	254	34	109	130	40	11	1602	528	304	1273	65	329	83	2662	281	162	196	515	296	230	22476	Sulfurifustis	Acidiferrobacteraceae
ASV000027	189	0	92	329	0	172	84	61	61	289	30	29	153	1009	420	27	64	112	388	224	85	169	54	0	0	282	36	144	107	130	40	65	28	166	283	19	141	136	30	0	180	331	56	113	108	23	42	49	33	91	71	110	70	0	53	54	49	52	42	17	104	4143	19	32	50	0	0	241	28	181	27	81	241	273	128	85	84	58	68	500	78	71	4380	84	64	109	272	785	97	64	2774	22313	Halomonas	Halomonadaceae
ASV000028	0	0	16	14	12	593	560	6	1435	4	0	801	0	11	0	17	0	29	34	5	16	4	7	0	0	0	9	16	0	0	0	12	39	17	5	0	9	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	5	0	7	0	0	12	11	0	4	12	19	4	0	0	23	11	0	9	24	0	0	17	129	0	0	1249	117	0	83	121	549	107	121	0	0	15826	0	14	131	22287	Pseudomonas	Pseudomonadaceae
ASV000029	72	70	762	115	169	0	193	72	820	82	208	34	0	190	234	81	26	79	331	0	134	52	0	162	14	166	39	0	40	50	4624	22	141	19	449	1201	20	2460	272	26	152	0	141	320	79	486	60	40	98	327	131	97	1093	28	46	1769	51	21	12	611	61	0	15	337	447	54	1335	58	349	54	24	94	38	73	0	0	0	0	0	0	0	0	5	0	0	0	66	0	110	76	17	22204	Thermomonas	Xanthomonadaceae
ASV000030	78	269	184	236	226	72	113	97	127	69	45	34	242	73	264	77	23	88	88	20	122	88	63	848	385	112	37	64	405	898	170	50	104	20	88	573	35	222	474	57	271	141	114	223	178	347	74	50	113	329	174	118	387	49	182	468	292	164	24	437	224	33	40	68	184	343	459	62	711	62	269	526	40	171	96	595	20	1207	419	227	101	95	717	70	1910	304	168	180	369	402	223	21670	Thermomonas	Xanthomonadaceae
ASV000031	61	69	67	331	14	154	143	318	108	203	33	87	886	40	19	72	5	121	128	34	64	18	130	315	231	57	825	91	316	373	25	69	104	53	79	21	66	17	21	46	505	268	96	1083	1345	41	51	18	13	30	12	53	10	33	53	17	558	392	94	20	469	211	79	48	164	317	16	31	28	229	664	8	25	192	84	45	22	921	443	789	988	51	505	724	1538	91	77	165	420	755	250	20855	Jhaorihella	Rhodobacteraceae
ASV000032	30	110	67	181	65	41	0	51	42	0	20	0	86	32	155	34	0	56	36	0	60	16	19	33	9	40	0	36	125	324	58	0	44	24	60	278	10	60	157	22	282	10	0	240	50	101	29	0	23	139	69	26	29	6	269	100	9	21	46	169	121	12	0	23	87	13	89	20	143	32	71	109	14	92	12218	1099	0	53	123	56	19	229	505	120	104	28	500	231	57	21	189	20377	Stutzerimonas	Pseudomonadaceae
ASV000033	93	108	97	3615	6	61	242	165	105	160	22	292	416	168	14	68	331	279	149	12	166	475	0	25	640	204	17	65	366	321	15	57	55	76	87	18	71	67	48	19	873	144	161	223	106	23	74	36	83	0	50	6	12	33	25	38	837	182	194	33	55	20	30	32	127	242	12	100	81	170	314	18	132	1891	58	1108	13	30	798	132	38	90	635	22	59	25	184	128	470	266	631	20239	Jhaorihella	Rhodobacteraceae
ASV000034	69	45	116	547	68	93	86	100	118	240	38	519	191	69	114	88	28	129	182	53	115	270	32	93	211	96	800	119	277	827	62	433	71	72	77	148	44	58	157	100	566	584	139	735	473	103	85	51	37	166	157	58	82	69	121	56	125	325	96	114	1422	119	100	40	116	119	108	443	179	319	650	91	591	228	82	494	10	0	244	170	27	48	791	193	30	77	281	150	241	153	616	19229	Alicycliphilus	Comamonadaceae
ASV000035	86	130	116	207	68	79	121	43	147	89	24	63	649	80	133	73	133	96	157	35	1677	32	32	46	364	60	792	86	134	272	41	63	68	42	57	148	65	141	144	84	321	51	96	335	703	90	104	1449	85	186	182	73	130	86	395	203	769	54	50	203	632	32	77	285	103	720	160	74	247	50	272	636	58	195	21	50	20	49	164	597	723	0	422	17	27	188	78	121	284	228	71	19043	Thermomonas	Xanthomonadaceae
ASV000036	67	133	103	258	50	39	158	58	109	60	15	14	165	82	55	78	45	89	60	14	4966	75	139	245	717	42	280	46	198	143	34	50	41	12	44	75	53	32	64	51	67	48	56	65	218	136	72	50	10	113	118	73	66	45	48	68	1028	44	15	140	131	22	31	49	52	1026	121	42	134	45	85	223	44	205	25	1759	0	0	827	499	39	167	497	10	33	35	85	95	549	259	80	18608	Ruegeria	Roseobacteraceae
ASV000037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	920	0	146	188	22	6	15654	16	180	236	7	11	399	8	9	247	18397	Acidovorax	Comamonadaceae
ASV000038	0	33	0	1604	0	174	254	62	41	276	20	263	38	96	0	43	0	177	214	92	75	30	46	105	101	86	1361	114	0	29	0	28	56	181	39	0	23	36	45	101	97	0	1150	885	2946	0	0	0	38	80	28	130	0	0	120	26	52	640	132	0	2433	99	126	0	52	63	0	206	54	54	1028	0	0	1733	0	0	0	0	89	0	0	0	99	0	0	0	0	0	0	0	0	18203	Thiohalomonas	Ectothiorhodospiraceae
ASV000039	0	216	0	218	0	0	21	0	25	211	235	0	0	345	0	0	249	0	0	170	0	131	0	0	0	451	0	0	0	143	0	242	0	0	31	0	0	327	0	0	0	21	261	13	0	0	0	330	12646	0	99	129	0	222	0	16	0	0	114	0	0	0	0	0	0	0	0	57	280	0	0	0	178	0	24	0	0	0	15	0	0	0	0	0	0	66	232	0	120	0	0	17838	Pseudomonas	Pseudomonadaceae
ASV000040	0	0	7	0	22	2	0	0	0	0	127	38	0	45	0	44	0	0	15	0	0	0	21	12	0	0	0	0	0	0	9	0	36	0	29	280	0	0	0	0	10	0	0	16	0	12	0	38	0	0	0	0	0	0	0	0	0	0	1239	6	0	0	0	0	28	0	27	0	0	0	39	0	0	0	303	584	0	2448	158	11	187	10973	8	146	210	7	0	372	8	0	241	17758	Sulfidibacter	Acanthopleuribacteraceae
ASV000041	134	148	36	90	29	48	231	95	118	403	6	589	64	171	32	27	133	122	66	23	118	2663	142	53	1339	221	343	35	20	24	6	685	30	88	184	19	145	16	69	145	78	77	102	115	57	20	136	159	9	82	11	27	101	91	559	39	227	149	67	18	1359	69	74	66	31	1045	27	3221	21	14	74	159	16	114	0	0	0	0	11	8	0	0	44	0	6	0	35	0	128	164	0	17720	Ruegeria	Roseobacteraceae
