Station	Unnamed: 0	Sample No	Volatile Suspended Solids (mg/L)	Unionised Ammonia (mg/L)	Turbidity (NTU)	Total Phosphorus (mg/L)	Total Nitrogen (mg/L)	Total Kjeldahl Nitrogen (mg/L)	Total Inorganic Nitrogen (mg/L)	Temperature (°C)	Suspended Solids (mg/L)	Silica (mg/L)	Secchi Disc Depth (M)	Salinity (psu)	Phaeo-pigments (μg/L)	pH	Orthophosphate Phosphorus (mg/L)	Nitrite Nitrogen (mg/L)	Nitrate Nitrogen (mg/L)	Faecal Coliforms (cfu/100mL)	E. coli (cfu/100mL)	Dissolved Oxygen (mg/L)	Dissolved Oxygen (%saturation)	Chlorophyll-a (μg/L)	Ammonia Nitrogen (mg/L)	5-day Biochemical Oxygen Demand (mg/L)	Year	Month	x	y	DIN(mg/L)	DIN(uM)	Nitrite Nitrogen (uM)	Nitrate Nitrogen (uM)	Ammonia Nitrogen (uM)
JM3	1084.212765957447	1.0	0.9645390070921985	0.0013687943262411348	3.028368794326241	0.03659574468085106	0.46326241134751767	0.3517730496453901	0.1575886524822695	20.074468085106382	3.90709219858156	0.7307092198581561	3.176595744680851	32.40567375886525	0.8659574468085106	7.88936170212766	0.014255319148936168	0.018631205673758866	0.09231205673758865	178.5035460992908	96.64539007092199	6.851063829787234	90.84397163120568	2.6092198581560284	0.04614184397163121	0.7468085106382979	2016.2553191489362	5.851063829787234	114.26095	22.2915	0.15708510638297873	11.220364741641337	1.3308004052684905	6.5937183383991895	3.295845997973658
JM4	2370.4	1.0	0.9506666666666667	0.00124	3.0959999999999996	0.036199999999999996	0.47679999999999995	0.37046666666666667	0.1464	20.034666666666666	3.9719999999999995	0.7163999999999999	3.316	32.43933333333333	0.7466666666666667	7.915333333333333	0.013566666666666668	0.018133333333333335	0.08718666666666666	153.39333333333335	81.46666666666667	6.953333333333333	92.02666666666667	2.3726666666666665	0.04051333333333333	0.6526666666666667	2016.5	5.8	114.2563	22.2812166666666	0.14583333333333331	10.416666666666666	1.2952380952380953	6.227619047619048	2.8938095238095234
MM1	767.2127659574468	1.0	1.3865248226950355	0.0016879432624113476	4.718439716312057	0.03446808510638298	0.4530496453900709	0.3799290780141844	0.12375886524822695	20.22340425531915	5.342553191489362	0.7702836879432624	2.578723404255319	32.05602836879432	1.6007092198581558	7.993617021276595	0.007914893617021277	0.012921985815602837	0.05982978723404255	32.91489361702128	21.907801418439718	6.970921985815603	92.63120567375887	4.564539007092199	0.05043971631205674	1.0397163120567376	2016.2553191489362	5.851063829787234	114.23785	22.5497333333333	0.12319148936170213	8.799392097264437	0.9229989868287741	4.273556231003039	3.602836879432624
MM13	1741.8936170212767	1.0	1.0865248226950355	0.0009787234042553192	4.348936170212767	0.0324822695035461	0.3870921985815603	0.31432624113475177	0.0922695035460993	20.131205673758867	5.666666666666667	0.6390070921985815	3.5574468085106385	32.88581560283688	0.4929078014184397	7.94113475177305	0.009659574468085108	0.010716312056737587	0.06167375886524822	2.1631205673758864	1.524822695035461	6.907801418439717	92.0709219858156	0.9865248226950354	0.0190354609929078	0.3312056737588653	2016.2553191489362	5.851063829787234	114.448666666666	22.2166666666666	0.09142553191489361	6.5303951367781155	0.765450861195542	4.405268490374874	1.3596757852077002
MM14	2596.8936170212764	1.0	1.1070921985815603	0.000971631205673759	4.56950354609929	0.03588652482269503	0.4013475177304965	0.3193617021276596	0.10234042553191489	19.849645390070922	5.539007092198582	0.73822695035461	3.529787234042553	32.655319148936165	0.6375886524822696	7.931205673758865	0.01	0.011290780141843973	0.07012765957446808	1.6099290780141844	1.3617021276595744	7.07304964539007	93.55319148936171	1.9049645390070924	0.020666666666666667	0.4453900709219858	2016.2553191489362	5.851063829787234	114.448666666666	22.2926666666666	0.10208510638297871	7.291793313069908	0.806484295845998	5.009118541033435	1.4761904761904763
MM15	3465.4	1.0	1.004	0.0009600000000000001	3.5833333333333335	0.03373333333333333	0.3811333333333333	0.3012	0.10146666666666668	19.574666666666666	4.9126666666666665	0.7719333333333334	3.582	32.498	0.5173333333333333	7.923333333333333	0.009373333333333332	0.011073333333333334	0.06836666666666667	1.84	1.6266666666666667	7.158	94.18	1.4	0.02142	0.4526666666666667	2016.5	5.8	114.448666666666	22.3686666666666	0.10086	7.204285714285715	0.790952380952381	4.883333333333334	1.53
MM16	4358.285714285715	1.0	1.0122448979591838	0.000986394557823129	3.6775510204081634	0.03142857142857143	0.38863945578231296	0.32081632653061226	0.08972789115646258	19.604081632653063	4.649659863945578	0.7429251700680273	3.608163265306122	32.41292517006803	0.6952380952380952	7.8972789115646265	0.008673469387755102	0.01079591836734694	0.05657142857142858	2.836734693877551	2.6462585034013606	7.199319727891156	94.72789115646259	1.8462585034013603	0.022272108843537416	0.5421768707482993	2016.4285714285713	5.877551020408164	114.448666666666	22.4445	0.08963945578231294	6.402818270165211	0.7711370262390671	4.040816326530613	1.5908649173955298
MM17	5771.212765957447	1.0	1.0099290780141845	0.0011631205673758866	2.0340425531914894	0.030354609929078017	0.36921985815602837	0.33354609929078016	0.06822695035460992	19.71631205673759	3.885106382978723	0.6263120567375887	3.6872340425531913	32.315602836879435	0.9226950354609929	7.9787234042553195	0.007049645390070922	0.007475177304964539	0.027631205673758864	1.4893617021276595	1.0212765957446808	7.165957446808511	94.46808510638297	2.5886524822695036	0.03278014184397163	0.7645390070921986	2016.2553191489362	5.851063829787234	114.349333333333	22.5032	0.06788652482269503	4.849037487335359	0.5339412360688957	1.973657548125633	2.3414387031408306
MM19	6508.893617021276	1.0	0.9687943262411347	0.0009858156028368795	3.14822695035461	0.036170212765957444	0.3821276595744681	0.2998581560283688	0.10482269503546099	19.743971631205675	4.43758865248227	0.7558156028368794	3.5340425531914894	32.57872340425532	0.6120567375886524	7.940425531914893	0.009666666666666667	0.012581560283687943	0.0693404255319149	2.8226950354609928	1.75177304964539	7.063120567375886	93.16312056737588	1.4794326241134752	0.02214893617021277	0.4624113475177305	2016.2553191489362	5.851063829787234	114.323516666666	22.26535	0.1040709219858156	7.433637284701114	0.8986828774062817	4.952887537993922	1.582066869300912
MM2	7457.212765957447	1.0	1.2893617021276595	0.001524822695035461	3.2524822695035462	0.03021276595744681	0.40503546099290777	0.3649645390070922	0.08148936170212766	20.09078014184397	5.110638297872341	0.6616312056737589	3.0404255319148934	32.199290780141844	1.1709219858156028	8.009219858156028	0.006822695035460993	0.009943262411347516	0.029546099290780146	3.4468085106382977	2.141843971631206	7.199290780141844	95.44680851063829	3.453191489361702	0.04149645390070922	0.9234042553191488	2016.2553191489362	5.851063829787234	114.277466666666	22.5437666666666	0.08098581560283688	5.784701114488349	0.7102330293819655	2.110435663627153	2.96403242147923
