Station	Unnamed: 0	Sample No	Volatile Suspended Solids (mg/L)	Unionised Ammonia (mg/L)	Turbidity (NTU)	Total Phosphorus (mg/L)	Total Nitrogen (mg/L)	Total Kjeldahl Nitrogen (mg/L)	Total Inorganic Nitrogen (mg/L)	Temperature (°C)	Suspended Solids (mg/L)	Silica (mg/L)	Secchi Disc Depth (M)	Salinity (psu)	Phaeo-pigments (μg/L)	pH	Orthophosphate Phosphorus (mg/L)	Nitrite Nitrogen (mg/L)	Nitrate Nitrogen (mg/L)	Faecal Coliforms (cfu/100mL)	E. coli (cfu/100mL)	Dissolved Oxygen (mg/L)	Dissolved Oxygen (%saturation)	Chlorophyll-a (μg/L)	Ammonia Nitrogen (mg/L)	5-day Biochemical Oxygen Demand (mg/L)	Year	Month	x	y	DIN(mg/L)	DIN(uM)	Nitrite Nitrogen (uM)	Nitrate Nitrogen (uM)	Ammonia Nitrogen (uM)
JM3	1092.3088235294117	1.0	1.386764705882353	0.002480392156862745	3.468137254901961	0.03370967741935484	0.46951612903225803	0.3716129032258065	0.15995098039215688	25.675980392156863	4.904411764705882	0.655392156862745	2.926470588235294	31.931372549019606	1.6279411764705884	7.910294117647059	0.010941176470588237	0.019230392156862744	0.08049019607843139	262.69117647058823	88.95588235294117	5.838235294117647	85.62254901960785	5.222549019607843	0.05950490196078431	0.957843137254902	2016.3970588235295	7.029411764705882	114.26095	22.2915	0.15922549019607846	11.37324929971989	1.3735994397759104	5.749299719887956	4.250350140056022
JM4	2374.0	1.0	1.378095238095238	0.0023952380952380952	3.9380952380952383	0.034270833333333334	0.47036458333333336	0.3754166666666667	0.1550952380952381	25.296190476190475	5.425238095238095	0.7209047619047619	2.9114285714285715	32.26380952380952	1.319047619047619	7.911428571428572	0.011804761904761905	0.019790476190476188	0.07745238095238095	382.73809523809524	134.28095238095239	5.5285714285714285	80.6952380952381	4.043333333333333	0.05727142857142857	0.8028571428571428	2016.5	7.0	114.2563	22.2812166666666	0.15451428571428572	11.03673469387755	1.4136054421768705	5.532312925170068	4.090816326530613
MM1	775.3088235294117	1.0	1.5534313725490194	0.0021176470588235292	4.732352941176471	0.034139784946236554	0.38612903225806455	0.3504838709677419	0.0759313725490196	27.288725490196075	4.87843137254902	0.6565686274509804	2.3794117647058823	31.1671568627451	1.5916666666666666	7.998039215686274	0.006161764705882353	0.008068627450980392	0.02765686274509804	497.0343137254902	220.18627450980392	6.284803921568627	94.31372549019608	5.364705882352942	0.03953431372549019	1.2259803921568626	2016.3970588235295	7.029411764705882	114.23785	22.5497333333333	0.07525980392156861	5.375700280112044	0.5763305322128851	1.9754901960784312	2.823879551820728
MM13	1748.0298507462687	1.0	1.118905472636816	0.001253731343283582	3.6756218905472635	0.03153005464480874	0.3310928961748634	0.2784153005464481	0.0727363184079602	25.527860696517415	4.274129353233831	0.536318407960199	4.25820895522388	32.77164179104478	0.7666666666666666	7.967164179104478	0.007756218905472637	0.010328358208955224	0.04338308457711443	5.497512437810945	1.2039800995024876	5.895522388059701	86.70149253731343	2.390049751243781	0.018333333333333333	0.5701492537313433	2016.3432835820895	7.029850746268656	114.448666666666	22.2166666666666	0.07204477611940299	5.146055437100214	0.7377398720682303	3.0987917555081737	1.3095238095238095
MM14	2603.0298507462685	1.0	1.1338308457711443	0.0012039800995024875	3.2820895522388063	0.03114754098360656	0.3098360655737705	0.27262295081967214	0.05641791044776119	25.45323383084577	4.21044776119403	0.5222388059701493	4.104477611940299	32.984079601990054	0.718407960199005	7.956218905472637	0.007562189054726368	0.009308457711442786	0.027517412935323383	5.169154228855722	1.109452736318408	5.808457711442786	85.49751243781094	2.0592039800995026	0.019049751243781096	0.5830845771144278	2016.3432835820895	7.029850746268656	114.448666666666	22.2926666666666	0.05587562189054726	3.991115849324804	0.6648898365316276	1.9655294953802416	1.3606965174129353
MM15	3469.0	1.0	1.0504761904761903	0.001176190476190476	2.843809523809524	0.03067708333333333	0.29510416666666667	0.26635416666666667	0.047952380952380955	25.564761904761905	3.697619047619048	0.5176190476190476	4.714285714285714	33.01238095238095	0.620952380952381	7.936190476190475	0.007523809523809524	0.007523809523809524	0.020695238095238096	3.6714285714285713	1.2	5.688095238095238	83.86666666666666	1.629047619047619	0.019352380952380954	0.55	2016.5	7.0	114.448666666666	22.3686666666666	0.04757142857142857	3.397959183673469	0.5374149659863946	1.478231292517007	1.382312925170068
MM16	4358.6567164179105	1.0	1.0497512437810945	0.001218905472636816	2.9412935323383085	0.03114754098360656	0.299344262295082	0.2740983606557377	0.04597014925373134	25.812437810945273	3.712935323383084	0.5628358208955224	4.608955223880597	32.78507462686567	0.5945273631840796	7.923880597014926	0.007358208955223881	0.006557213930348259	0.017860696517412934	3.5522388059701493	1.1044776119402986	5.709950248756219	84.43283582089552	1.5169154228855721	0.021094527363184082	0.6228855721393035	2016.3432835820895	7.029850746268656	114.448666666666	22.4445	0.04551243781094527	3.2508884150675192	0.4683724235963042	1.2757640369580667	1.5067519545131487
MM17	5779.308823529412	1.0	1.0941176470588234	0.0015441176470588236	1.9965686274509804	0.031236559139784948	0.3375806451612903	0.31247311827956986	0.05455882352941177	26.11225490196078	3.328921568627451	0.6313725490196079	3.913235294117647	32.25294117647059	0.7745098039215687	7.9372549019607845	0.0068970588235294115	0.007637254901960784	0.01711764705882353	9.926470588235293	1.8284313725490196	5.513725490196078	81.69607843137256	2.252450980392157	0.029166666666666667	0.7857843137254903	2016.3970588235295	7.029411764705882	114.349333333333	22.5032	0.05392156862745098	3.8515406162464987	0.5455182072829132	1.222689075630252	2.0833333333333335
MM19	6515.0298507462685	1.0	1.1154228855721393	0.0012587064676616916	4.971144278606966	0.03016393442622951	0.3067213114754099	0.26382513661202184	0.06477611940298507	25.335323383084575	4.146766169154229	0.6068159203980099	3.7686567164179103	33.01144278606965	0.7547263681592039	7.949253731343283	0.008527363184079602	0.01037313432835821	0.03292537313432836	2.3383084577114426	1.3134328358208955	5.589054726368159	82.12437810945273	2.1552238805970148	0.021024875621890548	0.6348258706467661	2016.3432835820895	7.029850746268656	114.323516666666	22.26535	0.06432338308457712	4.5945273631840795	0.7409381663113007	2.35181236673774	1.5017768301350392
MM2	7465.308823529412	1.0	1.3906862745098039	0.0017352941176470588	3.081862745098039	0.031505376344086025	0.35516129032258065	0.32591397849462367	0.06254901960784313	26.837254901960787	4.333823529411765	0.6431862745098039	3.063235294117647	31.692156862745097	1.0901960784313727	7.984313725490196	0.006401960784313726	0.008921568627450981	0.019779411764705882	25.818627450980394	8.970588235294118	5.7710784313725485	86.36764705882354	3.3181372549019605	0.03342156862745098	0.9539215686274509	2016.3970588235295	7.029411764705882	114.277466666666	22.5437666666666	0.06212254901960784	4.437324929971989	0.6372549019607844	1.41281512605042	2.3872549019607843
